"","profile","period","weekday","timestamp","value"
"1","H0","winter","saturday","00:15",70.8
"2","H0","winter","saturday","00:30",68.2
"3","H0","winter","saturday","00:45",65.9
"4","H0","winter","saturday","01:00",63.3
"5","H0","winter","saturday","01:15",59.5
"6","H0","winter","saturday","01:30",55
"7","H0","winter","saturday","01:45",50.5
"8","H0","winter","saturday","02:00",46.6
"9","H0","winter","saturday","02:15",43.9
"10","H0","winter","saturday","02:30",42.3
"11","H0","winter","saturday","02:45",41.4
"12","H0","winter","saturday","03:00",40.8
"13","H0","winter","saturday","03:15",40.3
"14","H0","winter","saturday","03:30",39.9
"15","H0","winter","saturday","03:45",39.5
"16","H0","winter","saturday","04:00",39.1
"17","H0","winter","saturday","04:15",38.8
"18","H0","winter","saturday","04:30",38.5
"19","H0","winter","saturday","04:45",38.3
"20","H0","winter","saturday","05:00",38.3
"21","H0","winter","saturday","05:15",38.5
"22","H0","winter","saturday","05:30",39.1
"23","H0","winter","saturday","05:45",40.3
"24","H0","winter","saturday","06:00",42.4
"25","H0","winter","saturday","06:15",45.6
"26","H0","winter","saturday","06:30",49.9
"27","H0","winter","saturday","06:45",55.3
"28","H0","winter","saturday","07:00",61.6
"29","H0","winter","saturday","07:15",68.9
"30","H0","winter","saturday","07:30",77.1
"31","H0","winter","saturday","07:45",86.1
"32","H0","winter","saturday","08:00",95.7
"33","H0","winter","saturday","08:15",105.8
"34","H0","winter","saturday","08:30",115.8
"35","H0","winter","saturday","08:45",124.9
"36","H0","winter","saturday","09:00",132.3
"37","H0","winter","saturday","09:15",137.6
"38","H0","winter","saturday","09:30",141.1
"39","H0","winter","saturday","09:45",143.3
"40","H0","winter","saturday","10:00",144.8
"41","H0","winter","saturday","10:15",146
"42","H0","winter","saturday","10:30",147.2
"43","H0","winter","saturday","10:45",148.4
"44","H0","winter","saturday","11:00",149.8
"45","H0","winter","saturday","11:15",151.5
"46","H0","winter","saturday","11:30",153.5
"47","H0","winter","saturday","11:45",156
"48","H0","winter","saturday","12:00",159
"49","H0","winter","saturday","12:15",162.4
"50","H0","winter","saturday","12:30",165.8
"51","H0","winter","saturday","12:45",168.4
"52","H0","winter","saturday","13:00",169.8
"53","H0","winter","saturday","13:15",169.4
"54","H0","winter","saturday","13:30",167.6
"55","H0","winter","saturday","13:45",164.8
"56","H0","winter","saturday","14:00",161.5
"57","H0","winter","saturday","14:15",158.1
"58","H0","winter","saturday","14:30",154.9
"59","H0","winter","saturday","14:45",151.8
"60","H0","winter","saturday","15:00",149
"61","H0","winter","saturday","15:15",146.5
"62","H0","winter","saturday","15:30",144.4
"63","H0","winter","saturday","15:45",142.7
"64","H0","winter","saturday","16:00",141.5
"65","H0","winter","saturday","16:15",140.9
"66","H0","winter","saturday","16:30",141.7
"67","H0","winter","saturday","16:45",144.9
"68","H0","winter","saturday","17:00",151.5
"69","H0","winter","saturday","17:15",161.9
"70","H0","winter","saturday","17:30",174.6
"71","H0","winter","saturday","17:45",187.4
"72","H0","winter","saturday","18:00",198.1
"73","H0","winter","saturday","18:15",205.2
"74","H0","winter","saturday","18:30",209.1
"75","H0","winter","saturday","18:45",211.1
"76","H0","winter","saturday","19:00",212.2
"77","H0","winter","saturday","19:15",213.2
"78","H0","winter","saturday","19:30",213
"79","H0","winter","saturday","19:45",210.4
"80","H0","winter","saturday","20:00",203.9
"81","H0","winter","saturday","20:15",192.9
"82","H0","winter","saturday","20:30",179
"83","H0","winter","saturday","20:45",164.4
"84","H0","winter","saturday","21:00",151.5
"85","H0","winter","saturday","21:15",141.9
"86","H0","winter","saturday","21:30",135.3
"87","H0","winter","saturday","21:45",131
"88","H0","winter","saturday","22:00",128.2
"89","H0","winter","saturday","22:15",126.1
"90","H0","winter","saturday","22:30",124.1
"91","H0","winter","saturday","22:45",121.6
"92","H0","winter","saturday","23:00",118.2
"93","H0","winter","saturday","23:15",113.4
"94","H0","winter","saturday","23:30",107.4
"95","H0","winter","saturday","23:45",100.8
"96","H0","winter","saturday","00:00",94.1
"97","H0","summer","saturday","00:15",89.8
"98","H0","summer","saturday","00:30",84.9
"99","H0","summer","saturday","00:45",80.7
"100","H0","summer","saturday","01:00",76.6
"101","H0","summer","saturday","01:15",71.7
"102","H0","summer","saturday","01:30",66.6
"103","H0","summer","saturday","01:45",61.6
"104","H0","summer","saturday","02:00",57.4
"105","H0","summer","saturday","02:15",54.5
"106","H0","summer","saturday","02:30",52.6
"107","H0","summer","saturday","02:45",51.4
"108","H0","summer","saturday","03:00",50.8
"109","H0","summer","saturday","03:15",50.3
"110","H0","summer","saturday","03:30",50
"111","H0","summer","saturday","03:45",49.9
"112","H0","summer","saturday","04:00",49.9
"113","H0","summer","saturday","04:15",50.1
"114","H0","summer","saturday","04:30",50.4
"115","H0","summer","saturday","04:45",50.7
"116","H0","summer","saturday","05:00",50.8
"117","H0","summer","saturday","05:15",50.8
"118","H0","summer","saturday","05:30",50.9
"119","H0","summer","saturday","05:45",51.6
"120","H0","summer","saturday","06:00",53.3
"121","H0","summer","saturday","06:15",56.2
"122","H0","summer","saturday","06:30",60.4
"123","H0","summer","saturday","06:45",65.8
"124","H0","summer","saturday","07:00",72.4
"125","H0","summer","saturday","07:15",80
"126","H0","summer","saturday","07:30",88.5
"127","H0","summer","saturday","07:45",97.4
"128","H0","summer","saturday","08:00",106.5
"129","H0","summer","saturday","08:15",115.6
"130","H0","summer","saturday","08:30",124.4
"131","H0","summer","saturday","08:45",132.8
"132","H0","summer","saturday","09:00",140.7
"133","H0","summer","saturday","09:15",147.8
"134","H0","summer","saturday","09:30",154
"135","H0","summer","saturday","09:45",158.9
"136","H0","summer","saturday","10:00",162.3
"137","H0","summer","saturday","10:15",164.1
"138","H0","summer","saturday","10:30",164.7
"139","H0","summer","saturday","10:45",165
"140","H0","summer","saturday","11:00",165.6
"141","H0","summer","saturday","11:15",167.1
"142","H0","summer","saturday","11:30",169.4
"143","H0","summer","saturday","11:45",172.4
"144","H0","summer","saturday","12:00",175.6
"145","H0","summer","saturday","12:15",179
"146","H0","summer","saturday","12:30",181.9
"147","H0","summer","saturday","12:45",183.7
"148","H0","summer","saturday","13:00",183.9
"149","H0","summer","saturday","13:15",182.1
"150","H0","summer","saturday","13:30",178.7
"151","H0","summer","saturday","13:45",174.1
"152","H0","summer","saturday","14:00",169
"153","H0","summer","saturday","14:15",163.7
"154","H0","summer","saturday","14:30",158.9
"155","H0","summer","saturday","14:45",154.6
"156","H0","summer","saturday","15:00",151.5
"157","H0","summer","saturday","15:15",149.6
"158","H0","summer","saturday","15:30",148.6
"159","H0","summer","saturday","15:45",148
"160","H0","summer","saturday","16:00",147.3
"161","H0","summer","saturday","16:15",146.2
"162","H0","summer","saturday","16:30",145
"163","H0","summer","saturday","16:45",144.1
"164","H0","summer","saturday","17:00",144
"165","H0","summer","saturday","17:15",144.9
